run_id,vehicle_id,compartment_id,timestamp_min,temperature_c,setpoint_c,deviation_c
run_2026-03-17_22-25-09,0,A,0.0,4.31,3.0,1.31
run_2026-03-17_22-25-09,0,B,0.0,12.5,12.0,0.5
run_2026-03-17_22-25-09,0,C,0.0,15.66,15.0,0.66
run_2026-03-17_22-25-09,1,A,0.0,3.95,3.0,0.95
run_2026-03-17_22-25-09,1,B,0.0,12.52,12.0,0.52
run_2026-03-17_22-25-09,1,C,0.0,15.69,15.0,0.69
run_2026-03-17_22-25-09,2,A,0.0,4.19,3.0,1.19
run_2026-03-17_22-25-09,2,B,0.0,12.29,12.0,0.29
run_2026-03-17_22-25-09,2,C,0.0,15.22,15.0,0.22
run_2026-03-17_22-25-09,0,A,5.0,4.53,3.0,1.53
run_2026-03-17_22-25-09,0,B,5.0,13.19,12.0,1.19
run_2026-03-17_22-25-09,0,C,5.0,15.69,15.0,0.69
run_2026-03-17_22-25-09,1,A,5.0,4.07,3.0,1.07
run_2026-03-17_22-25-09,1,B,5.0,12.15,12.0,0.15
run_2026-03-17_22-25-09,1,C,5.0,15.74,15.0,0.74
run_2026-03-17_22-25-09,2,A,5.0,4.47,3.0,1.47
run_2026-03-17_22-25-09,2,B,5.0,12.45,12.0,0.45
run_2026-03-17_22-25-09,2,C,5.0,15.67,15.0,0.67
run_2026-03-17_22-25-09,0,A,10.0,4.96,3.0,1.96
run_2026-03-17_22-25-09,0,B,10.0,13.45,12.0,1.45
run_2026-03-17_22-25-09,0,C,10.0,16.07,15.0,1.07
run_2026-03-17_22-25-09,1,A,10.0,5.03,3.0,2.03
run_2026-03-17_22-25-09,1,B,10.0,12.28,12.0,0.28
run_2026-03-17_22-25-09,1,C,10.0,15.6,15.0,0.6
run_2026-03-17_22-25-09,2,A,10.0,6.81,3.0,3.81
run_2026-03-17_22-25-09,2,B,10.0,12.83,12.0,0.83
run_2026-03-17_22-25-09,2,C,10.0,15.88,15.0,0.88
run_2026-03-17_22-25-09,0,A,15.0,7.43,3.0,4.43
run_2026-03-17_22-25-09,0,B,15.0,14.16,12.0,2.16
run_2026-03-17_22-25-09,0,C,15.0,16.34,15.0,1.34
run_2026-03-17_22-25-09,1,A,15.0,5.44,3.0,2.44
run_2026-03-17_22-25-09,1,B,15.0,12.7,12.0,0.7
run_2026-03-17_22-25-09,1,C,15.0,16.01,15.0,1.01
run_2026-03-17_22-25-09,2,A,15.0,6.62,3.0,3.62
run_2026-03-17_22-25-09,2,B,15.0,13.07,12.0,1.07
run_2026-03-17_22-25-09,2,C,15.0,15.56,15.0,0.56
run_2026-03-17_22-25-09,0,A,20.0,6.8,3.0,3.8
run_2026-03-17_22-25-09,0,B,20.0,13.78,12.0,1.78
run_2026-03-17_22-25-09,0,C,20.0,16.35,15.0,1.35
run_2026-03-17_22-25-09,1,A,20.0,5.78,3.0,2.78
run_2026-03-17_22-25-09,1,B,20.0,14.94,12.0,2.94
run_2026-03-17_22-25-09,1,C,20.0,16.67,15.0,1.67
run_2026-03-17_22-25-09,2,A,20.0,6.26,3.0,3.26
run_2026-03-17_22-25-09,2,B,20.0,13.18,12.0,1.18
run_2026-03-17_22-25-09,2,C,20.0,15.45,15.0,0.45
run_2026-03-17_22-25-09,0,A,25.0,6.19,3.0,3.19
run_2026-03-17_22-25-09,0,B,25.0,13.85,12.0,1.85
run_2026-03-17_22-25-09,0,C,25.0,15.29,15.0,0.29
run_2026-03-17_22-25-09,1,A,25.0,5.76,3.0,2.76
run_2026-03-17_22-25-09,1,B,25.0,14.98,12.0,2.98
run_2026-03-17_22-25-09,1,C,25.0,16.77,15.0,1.77
run_2026-03-17_22-25-09,2,A,25.0,6.27,3.0,3.27
run_2026-03-17_22-25-09,2,B,25.0,13.64,12.0,1.64
run_2026-03-17_22-25-09,2,C,25.0,15.45,15.0,0.45
run_2026-03-17_22-25-09,0,A,30.0,6.13,3.0,3.13
run_2026-03-17_22-25-09,0,B,30.0,13.46,12.0,1.46
run_2026-03-17_22-25-09,0,C,30.0,15.55,15.0,0.55
run_2026-03-17_22-25-09,1,A,30.0,6.52,3.0,3.52
run_2026-03-17_22-25-09,1,B,30.0,14.04,12.0,2.04
run_2026-03-17_22-25-09,1,C,30.0,16.69,15.0,1.69
run_2026-03-17_22-25-09,2,A,30.0,5.8,3.0,2.8
run_2026-03-17_22-25-09,2,B,30.0,14.48,12.0,2.48
run_2026-03-17_22-25-09,2,C,30.0,15.84,15.0,0.84
run_2026-03-17_22-25-09,0,A,35.0,5.55,3.0,2.55
run_2026-03-17_22-25-09,0,B,35.0,14.07,12.0,2.07
run_2026-03-17_22-25-09,0,C,35.0,15.83,15.0,0.83
run_2026-03-17_22-25-09,1,A,35.0,6.18,3.0,3.18
run_2026-03-17_22-25-09,1,B,35.0,13.63,12.0,1.63
run_2026-03-17_22-25-09,1,C,35.0,16.65,15.0,1.65
run_2026-03-17_22-25-09,2,A,35.0,6.01,3.0,3.01
run_2026-03-17_22-25-09,2,B,35.0,14.72,12.0,2.72
run_2026-03-17_22-25-09,2,C,35.0,15.81,15.0,0.81
run_2026-03-17_22-25-09,0,A,40.0,5.76,3.0,2.76
run_2026-03-17_22-25-09,0,B,40.0,14.73,12.0,2.73
run_2026-03-17_22-25-09,0,C,40.0,16.11,15.0,1.11
run_2026-03-17_22-25-09,1,A,40.0,5.97,3.0,2.97
run_2026-03-17_22-25-09,1,B,40.0,13.88,12.0,1.88
run_2026-03-17_22-25-09,1,C,40.0,16.84,15.0,1.84
run_2026-03-17_22-25-09,2,A,40.0,6.34,3.0,3.34
run_2026-03-17_22-25-09,2,B,40.0,14.68,12.0,2.68
run_2026-03-17_22-25-09,2,C,40.0,16.16,15.0,1.16
run_2026-03-17_22-25-09,0,A,45.0,6.39,3.0,3.39
run_2026-03-17_22-25-09,0,B,45.0,14.71,12.0,2.71
run_2026-03-17_22-25-09,0,C,45.0,16.16,15.0,1.16
run_2026-03-17_22-25-09,1,A,45.0,5.58,3.0,2.58
run_2026-03-17_22-25-09,1,B,45.0,14.11,12.0,2.11
run_2026-03-17_22-25-09,1,C,45.0,16.77,15.0,1.77
run_2026-03-17_22-25-09,2,A,45.0,6.47,3.0,3.47
run_2026-03-17_22-25-09,2,B,45.0,15.44,12.0,3.44
run_2026-03-17_22-25-09,2,C,45.0,16.11,15.0,1.11
run_2026-03-17_22-25-09,1,A,50.0,6.1,3.0,3.1
run_2026-03-17_22-25-09,1,B,50.0,14.26,12.0,2.26
run_2026-03-17_22-25-09,1,C,50.0,16.96,15.0,1.96
run_2026-03-17_22-25-09,2,A,50.0,6.5,3.0,3.5
run_2026-03-17_22-25-09,2,B,50.0,14.58,12.0,2.58
run_2026-03-17_22-25-09,2,C,50.0,16.81,15.0,1.81
run_2026-03-17_22-25-09,1,A,55.0,5.5,3.0,2.5
run_2026-03-17_22-25-09,1,B,55.0,14.47,12.0,2.47
run_2026-03-17_22-25-09,1,C,55.0,16.17,15.0,1.17
run_2026-03-17_22-25-09,2,A,55.0,6.24,3.0,3.24
run_2026-03-17_22-25-09,2,B,55.0,13.99,12.0,1.99
run_2026-03-17_22-25-09,2,C,55.0,16.45,15.0,1.45
