run_id,vehicle_id,batch_id,timestamp_min,quality_percent,above_safe_min,cumulative_abuse
run_2026-02-11_00-26-18,0,5,0.0,99.3,5.0,3.3
run_2026-02-11_00-26-18,1,1,0.0,100.0,5.0,1.6
run_2026-02-11_00-26-18,1,3,0.0,100.0,5.0,1.6
run_2026-02-11_00-26-18,1,7,0.0,99.7,5.0,1.6
run_2026-02-11_00-26-18,1,10,0.0,100.0,5.0,1.6
run_2026-02-11_00-26-18,1,8,0.0,100.0,5.0,1.6
run_2026-02-11_00-26-18,1,9,0.0,100.0,5.0,1.6
run_2026-02-11_00-26-18,2,0,0.0,99.8,20.0,9.3
run_2026-02-11_00-26-18,2,2,0.0,100.0,20.0,9.3
run_2026-02-11_00-26-18,2,4,0.0,99.8,20.0,9.3
run_2026-02-11_00-26-18,2,6,0.0,99.8,20.0,9.3
run_2026-02-11_00-26-18,2,11,0.0,99.5,20.0,9.3
run_2026-02-11_00-26-18,0,5,5.0,98.2,10.0,8.9
run_2026-02-11_00-26-18,1,1,5.0,100.0,10.0,4.7
run_2026-02-11_00-26-18,1,3,5.0,100.0,10.0,4.7
run_2026-02-11_00-26-18,1,7,5.0,99.0,10.0,4.7
run_2026-02-11_00-26-18,1,10,5.0,100.0,10.0,4.7
run_2026-02-11_00-26-18,1,8,5.0,100.0,10.0,4.7
run_2026-02-11_00-26-18,1,9,5.0,100.0,10.0,4.7
run_2026-02-11_00-26-18,2,0,5.0,99.5,40.0,28.4
run_2026-02-11_00-26-18,2,2,5.0,100.0,40.0,28.4
run_2026-02-11_00-26-18,2,4,5.0,99.5,40.0,28.4
run_2026-02-11_00-26-18,2,6,5.0,99.5,40.0,28.4
run_2026-02-11_00-26-18,2,11,5.0,98.6,40.0,28.4
run_2026-02-11_00-26-18,0,5,10.0,96.4,15.0,17.8
run_2026-02-11_00-26-18,1,1,10.0,100.0,15.0,13.7
run_2026-02-11_00-26-18,1,3,10.0,100.0,15.0,13.7
run_2026-02-11_00-26-18,1,7,10.0,97.2,15.0,13.7
run_2026-02-11_00-26-18,1,10,10.0,100.0,15.0,13.7
run_2026-02-11_00-26-18,1,8,10.0,100.0,15.0,13.7
run_2026-02-11_00-26-18,1,9,10.0,100.0,15.0,13.7
run_2026-02-11_00-26-18,2,0,10.0,98.2,65.0,122.5
run_2026-02-11_00-26-18,2,2,10.0,98.8,65.0,122.5
run_2026-02-11_00-26-18,2,4,10.0,98.2,65.0,122.5
run_2026-02-11_00-26-18,2,6,10.0,98.2,65.0,122.5
run_2026-02-11_00-26-18,2,11,10.0,94.3,65.0,122.5
run_2026-02-11_00-26-18,0,5,15.0,91.5,20.0,41.9
run_2026-02-11_00-26-18,1,1,15.0,99.8,35.0,31.6
run_2026-02-11_00-26-18,1,3,15.0,99.8,35.0,31.6
run_2026-02-11_00-26-18,1,7,15.0,94.8,35.0,31.6
run_2026-02-11_00-26-18,1,10,15.0,99.8,35.0,31.6
run_2026-02-11_00-26-18,1,8,15.0,100.0,35.0,31.6
run_2026-02-11_00-26-18,1,9,15.0,100.0,35.0,31.6
run_2026-02-11_00-26-18,2,0,15.0,96.9,90.0,213.2
run_2026-02-11_00-26-18,2,2,15.0,97.7,90.0,213.2
run_2026-02-11_00-26-18,2,4,15.0,96.9,90.0,213.2
run_2026-02-11_00-26-18,2,6,15.0,96.9,90.0,213.2
run_2026-02-11_00-26-18,2,11,15.0,90.2,90.0,213.2
run_2026-02-11_00-26-18,0,5,20.0,87.1,25.0,63.2
run_2026-02-11_00-26-18,1,1,20.0,99.3,65.0,70.3
run_2026-02-11_00-26-18,1,3,20.0,99.3,65.0,70.3
run_2026-02-11_00-26-18,1,7,20.0,91.9,65.0,70.3
run_2026-02-11_00-26-18,1,10,20.0,99.3,65.0,70.3
run_2026-02-11_00-26-18,1,8,20.0,99.8,65.0,70.3
run_2026-02-11_00-26-18,1,9,20.0,99.8,65.0,70.3
run_2026-02-11_00-26-18,2,0,20.0,95.7,115.0,295.8
run_2026-02-11_00-26-18,2,2,20.0,96.7,115.0,295.8
run_2026-02-11_00-26-18,2,4,20.0,95.7,115.0,295.8
run_2026-02-11_00-26-18,2,6,20.0,95.7,115.0,295.8
run_2026-02-11_00-26-18,2,11,20.0,86.4,115.0,295.8
run_2026-02-11_00-26-18,0,5,25.0,83.4,30.0,81.5
run_2026-02-11_00-26-18,1,1,25.0,98.9,95.0,109.2
run_2026-02-11_00-26-18,1,3,25.0,98.9,95.0,109.2
run_2026-02-11_00-26-18,1,7,25.0,89.0,95.0,109.2
run_2026-02-11_00-26-18,1,10,25.0,98.9,95.0,109.2
run_2026-02-11_00-26-18,1,8,25.0,99.6,95.0,109.2
run_2026-02-11_00-26-18,1,9,25.0,99.6,95.0,109.2
run_2026-02-11_00-26-18,2,0,25.0,94.5,140.0,378.5
run_2026-02-11_00-26-18,2,2,25.0,95.8,140.0,378.5
run_2026-02-11_00-26-18,2,4,25.0,94.5,140.0,378.5
run_2026-02-11_00-26-18,2,6,25.0,94.5,140.0,378.5
run_2026-02-11_00-26-18,2,11,25.0,82.7,140.0,378.5
run_2026-02-11_00-26-18,0,5,30.0,79.7,35.0,99.4
run_2026-02-11_00-26-18,1,1,30.0,97.9,125.0,155.0
run_2026-02-11_00-26-18,1,3,30.0,97.9,125.0,155.0
run_2026-02-11_00-26-18,1,7,30.0,85.2,125.0,155.0
run_2026-02-11_00-26-18,1,10,30.0,97.9,125.0,155.0
run_2026-02-11_00-26-18,1,8,30.0,99.6,125.0,155.0
run_2026-02-11_00-26-18,1,9,30.0,99.6,125.0,155.0
run_2026-02-11_00-26-18,2,0,30.0,93.4,165.0,448.7
run_2026-02-11_00-26-18,2,2,30.0,95.1,165.0,448.7
run_2026-02-11_00-26-18,2,4,30.0,93.4,165.0,448.7
run_2026-02-11_00-26-18,2,6,30.0,93.4,165.0,448.7
run_2026-02-11_00-26-18,2,11,30.0,79.4,165.0,448.7
run_2026-02-11_00-26-18,0,5,35.0,76.7,40.0,114.5
run_2026-02-11_00-26-18,1,1,35.0,97.1,145.0,194.2
run_2026-02-11_00-26-18,1,3,35.0,97.1,145.0,194.2
run_2026-02-11_00-26-18,1,7,35.0,81.7,145.0,194.2
run_2026-02-11_00-26-18,1,10,35.0,97.1,145.0,194.2
run_2026-02-11_00-26-18,1,8,35.0,99.6,145.0,194.2
run_2026-02-11_00-26-18,1,9,35.0,99.6,145.0,194.2
run_2026-02-11_00-26-18,2,0,35.0,92.3,190.0,525.3
run_2026-02-11_00-26-18,2,2,35.0,94.3,190.0,525.3
run_2026-02-11_00-26-18,2,4,35.0,92.3,190.0,525.3
run_2026-02-11_00-26-18,2,6,35.0,92.3,190.0,525.3
run_2026-02-11_00-26-18,2,11,35.0,75.9,190.0,525.3
run_2026-02-11_00-26-18,0,5,40.0,73.4,45.0,130.4
run_2026-02-11_00-26-18,1,1,40.0,96.4,165.0,229.8
run_2026-02-11_00-26-18,1,3,40.0,96.4,165.0,229.8
run_2026-02-11_00-26-18,1,7,40.0,78.4,165.0,229.8
run_2026-02-11_00-26-18,1,10,40.0,96.4,165.0,229.8
run_2026-02-11_00-26-18,1,8,40.0,99.6,165.0,229.8
run_2026-02-11_00-26-18,1,9,40.0,99.6,165.0,229.8
run_2026-02-11_00-26-18,2,0,40.0,91.1,215.0,610.0
